"core","hole","analyst","bottom","continuity","core_catcher","core_diameter","core_loss_reason","core_ondeck","core_recovery","core_recovery_pc","type","length","last_section","mcd_offset","remarks","rqd_abundance","rqd_intensity","temperature"
1,"5063_1_C","NB",3,,1,67,"DRILL","2017-06-15 09:00:00","2.9","96.666666666667","R",3,3,0,"Simple tube barrel used to drill the casing. Fractures of excavation damage zone (blasting fractures) also reduce the RQD.",32,1,
2,"5063_1_C","NB",6,,1,67,"BROKEN","2017-06-15 08:00:00","2.7",90,"R",3,2,0,"Simple tube barrel used to drill the casing. Fractures of excavation damage zone (blasting fractures) also reduce the RQD.",25,1,
3,"5063_1_C","NB",9,,1,49,"UNKNOWN","2017-06-15 08:00:00","3.2","106.66666666667","R",3,1,0,"Core drilled with double core barrel",95,4,
4,"5063_1_C","NB",12,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,0,,88,3,
5,"5063_1_C","NB",15,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,3,0,,100,4,
6,"5063_1_C","NB",18,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,5,"-0.71",,89,3,
7,"5063_1_C","NB",21,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.71",,80,3,
8,"5063_1_C","NB",24,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,3,"-0.71",,94,4,
9,"5063_1_C","NB",27,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,5,"-0.6",,72,2,
10,"5063_1_C","NB",30,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.6",,94,4,
11,"5063_1_C","NB",33,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,3,"-0.6",,0,0,
12,"5063_1_C","NB",36,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,3,"-0.4",,72,2,
13,"5063_1_C","NB",39,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.4",,96,4,
14,"5063_1_C","NB",42,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.4",,96,4,
15,"5063_1_C","NB",45,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.5",,100,4,
16,"5063_1_C","NB",48,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,3,"-0.5",,97,4,
17,"5063_1_C","NB",51,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,4,"-0.5",,96,4,
18,"5063_1_C","NB",54,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,2,"-0.45",,98,4,
19,"5063_1_C","NB",57,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.45",,79,3,
20,"5063_1_C","NB",60,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,7,"-0.55",,93,4,
21,"5063_1_C","NB",63,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,5,"-0.55",,95,4,
22,"5063_1_C","NB",66,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,5,"-0.55",,90,4,
23,"5063_1_C","NB",69,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,5,"-0.41",,87,3,
24,"5063_1_C","NB",72,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,5,"-0.41",,86,3,
25,"5063_1_C","NB",75,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,4,"-0.41",,91,0,
26,"5063_1_C","NB",78,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.43",,95,4,
27,"5063_1_C","NB",81,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,1,"-0.43",,95,4,
28,"5063_1_C","NB",84,,1,49,"UNKNOWN","2017-06-15 08:00:00",3,100,"R",3,2,"-0.43",,93,4,
29,"5063_1_C","NB",87,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,5,"-0.69",,97,4,
30,"5063_1_C","NB",90,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,1,"-0.69",,96,4,
31,"5063_1_C","NB",93,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,3,"-0.69",,98,4,
32,"5063_1_C","NB",96,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,3,"-0.47",,96,4,
33,"5063_1_C","NB",99,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,3,"-0.47",,92,4,
34,"5063_1_C","NB","100.5",,1,49,"UNKNOWN","2017-06-23 08:00:00","1.35",90,"R","1.5",2,"-0.47",,98,4,
36,"5063_1_C","NB",105,,1,49,"DISC","2017-06-23 08:00:00","2.95","98.333333333333","R",3,3,"0.8",,94,4,
37,"5063_1_C","NB",108,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,1,"0.8",,100,0,
38,"5063_1_C","NB",111,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,0,"0.44",,100,4,
39,"5063_1_C","NB",114,,1,49,"UNKNOWN","2017-06-23 08:00:00",0,100,"R",3,1,"0.44",,100,4,
40,"5063_1_C","NB",117,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,1,"0.44",,100,4,
41,"5063_1_C","NB",120,,1,49,"UNKNOWN","2017-06-23 08:00:00",3,100,"R",3,2,"0.42",,100,4,
42,"5063_1_C","NB",123,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,1,"0.42",,100,4,
43,"5063_1_C","NB",126,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,4,"0.42",,93,4,
44,"5063_1_C","NB",129,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,5,"0.37",,97,4,
45,"5063_1_C","NB",132,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,3,"0.37",,100,4,
46,"5063_1_C","NB",135,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,4,"0.37",,100,4,
47,"5063_1_C","NB",138,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,1,"0.47",,100,4,
48,"5063_1_C","NB",141,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,1,"0.47",,100,4,
49,"5063_1_C","NB",144,,1,49,"UNKNOWN","2017-06-28 08:00:00",0,0,"R",3,4,"0.47",,100,4,
50,"5063_1_C","NB",147,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,1,"0.79",,100,4,
51,"5063_1_C","NB",150,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,2,"0.79",,96,4,
52,"5063_1_C","NB",153,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,1,"0.79",,99,4,
53,"5063_1_C","NB",156,,1,49,"UNKNOWN","2017-06-28 08:00:00",3,100,"R",3,2,"0.49","Transition from Roodeport siltstone to Roodeport quartzite",100,4,
54,"5063_1_C","NB",159,,1,49,"UNKNOWN","2017-07-04 08:00:00",3,100,"R",3,1,"0.49",,97,4,
55,"5063_1_C","NB",162,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,1,"0.49",,100,4,
56,"5063_1_C","NB",165,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,1,"-1.69",,99,4,
57,"5063_1_C","NB",168,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,1,"-1.69",,100,4,
58,"5063_1_C","NB",171,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,1,"-1.69",,100,4,
59,"5063_1_C","NB",174,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,1,"-1.72",,100,4,
60,"5063_1_C","NB",177,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,1,"-1.72",,95,4,
61,"5063_1_C","NB",180,,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-1.72",,100,4,
62,"5063_1_C","HO",183,,1,49,"BROKEN","2017-07-04 08:00:00","2.9","96.666666666667","R",3,3,"-0.45","Drill bit change",100,4,
63,"5063_1_C","MZ",186,,1,49,"CONTAM","2017-08-15 09:35:00","3.06",102,"R",3,3,"-0.45",,12,4,
64,"5063_1_C","NB","188.65",,1,49,,"2017-07-04 08:00:00",3,"113.20754716981","R","2.65",1,"-0.45",,97,4,
65,"5063_1_C","NB","191.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,2,"-1.43",,0,0,
66,"5063_1_C","NB","194.65",,1,49,,"2017-07-04 08:00:00",0,0,"R",3,3,"-1.43",,0,0,
67,"5063_1_C","NB","197.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-1.43",,0,0,
68,"5063_1_C","NB","200.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-1.4",,0,0,
69,"5063_1_C","NB","203.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-1.4",,0,0,
70,"5063_1_C","NB","206.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-1.4",,0,0,
71,"5063_1_C","NB","209.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-0.05",,0,0,
72,"5063_1_C","NB","212.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-0.05",,0,0,
73,"5063_1_C","NB","215.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,3,"-0.05",,0,0,
74,"5063_1_C","NB","218.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,2,"-1.33",,0,0,
75,"5063_1_C","NB","221.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,2,"-1.33",,0,0,
76,"5063_1_C","NB","224.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,2,"-1.33",,0,0,
77,"5063_1_C","NB","227.65",,1,49,,"2017-07-04 08:00:00",3,100,"R",3,2,"-1.33",,0,0,
